	Importance	sample
65	0.4328351983468832	0
42	0.055282102290457165	1
20	0.05466947965800471	2
61	0.02514296860823637	3
16	0.022048678606662472	4
21	0.017801675510914605	5
73	0.017197955656376593	6
35	0.0164180249456887	7
41	0.015208896662958061	8
87	0.013831985230089973	9
7	0.009696406213584086	10
1	0.009150980206718956	11
48	0.008855112291578494	12
3	0.008586124143615034	13
0	0.008069762195219156	14
44	0.00769267063306887	15
93	0.007678800289506148	16
18	0.007596879620782762	17
57	0.0074168674911382175	18
52	0.007227633720795635	19
5	0.006938039043967032	20
68	0.006275165568021352	21
34	0.006038167569775379	22
92	0.005523870521158117	23
91	0.0054892053835163025	24
25	0.005352630324668344	25
37	0.005198004908349192	26
8	0.005139719087893817	27
97	0.005064511656744787	28
49	0.00505583689684918	29
75	0.005015747416793966	30
64	0.004947096767174241	31
43	0.004896757947627615	32
80	0.004888622372306671	33
95	0.004829679624038768	34
94	0.004735376207055165	35
72	0.0046517312888279755	36
86	0.004558090501456413	37
60	0.00449810107764466	38
99	0.004492767517363393	39
58	0.004304430427647861	40
88	0.003973608871732723	41
14	0.0037940474327272486	42
71	0.0037421245791381995	43
15	0.003703868416152887	44
51	0.00369147978088249	45
29	0.0036351394127275703	46
33	0.003566940311269323	47
98	0.003467745781455842	48
30	0.003454905647998485	49
53	0.003384210395430845	50
83	0.003307779790249982	51
26	0.003292118309070476	52
90	0.003182472458228762	53
17	0.003155949270731158	54
85	0.0030713583442100547	55
50	0.002997047610684953	56
47	0.002851091009793978	57
54	0.0028164940988566665	58
45	0.002800479557173699	59
77	0.0027888690645259786	60
82	0.0027588960039459944	61
23	0.0027483421572152148	62
89	0.0027471063417679703	63
59	0.0026669664061533993	64
74	0.0026151145464035235	65
79	0.00252906781710274	66
76	0.0024267747382625267	67
67	0.002397436445201488	68
12	0.002387305483539137	69
84	0.002311621538197083	70
19	0.002287201746213309	71
62	0.0022014020653102176	72
56	0.0021967805295341363	73
78	0.0021911820925341516	74
63	0.0021482687997197466	75
69	0.0021310063603642176	76
66	0.0020647653308505506	77
46	0.0020301698200235183	78
13	0.0020000886623296062	79
38	0.001973921800169185	80
40	0.0019696636923554156	81
81	0.0019460738002298698	82
9	0.0019042142339522252	83
31	0.001682398021403739	84
6	0.0015831871411160366	85
28	0.0014857873435578821	86
39	0.0014369397677170793	87
96	0.0014347668268352846	88
55	0.001372153308233164	89
22	0.0013437617957953877	90
10	0.0013287777729592415	91
70	0.0012843400241735728	92
36	0.0012484223636986598	93
27	0.0012064855836800793	94
24	0.0011932094900923983	95
2	0.001115418670785438	96
4	0.0010098172862316396	97
11	0.0008825364383028068	98
32	0.0007791431798414442	99
