	Importance	sample
9	0.3134701267902535	0
23	0.08463712033064104	1
60	0.0499987828933129	2
55	0.04632166004621469	3
44	0.04201333584437999	4
61	0.03375447072056177	5
2	0.024523280626069947	6
4	0.023205553023911335	7
54	0.02270170541353272	8
8	0.021934027379187735	9
36	0.02057068707045622	10
83	0.01825163673271158	11
82	0.013538465341937657	12
67	0.012678157447636808	13
1	0.008543654629425955	14
87	0.00838395142573726	15
24	0.008112056054888841	16
86	0.007868176605696726	17
12	0.00757106465106647	18
13	0.007377534413668512	19
50	0.007210366993705949	20
94	0.006838375618698936	21
66	0.0066827863821792635	22
14	0.006672812922861987	23
35	0.00611726849103491	24
15	0.005382663614106886	25
49	0.005377531062468613	26
53	0.0053521478478284895	27
45	0.005278469684803425	28
88	0.005103358127647574	29
10	0.004900555910924103	30
97	0.004762645603394157	31
98	0.004502319311222805	32
6	0.004483713094461821	33
32	0.003975112737340851	34
7	0.0038992338869172725	35
73	0.00383870667813082	36
68	0.0037491929552250993	37
96	0.0037325407082368736	38
90	0.0035916479207414396	39
22	0.0035810757557581305	40
84	0.0034394455020376464	41
43	0.0034235058087353706	42
57	0.0033575930011094527	43
69	0.0032618674715734083	44
75	0.003226461325353945	45
27	0.0031862292854253297	46
30	0.0029758244486196264	47
74	0.002885804924317743	48
58	0.0028516181546810065	49
81	0.002794296455077347	50
11	0.002776194125475149	51
16	0.0027557486545837714	52
64	0.0027450853829092806	53
26	0.0027285324999570737	54
85	0.002723927345664136	55
39	0.002669195514811667	56
31	0.0026046540466410093	57
20	0.0025749024744374407	58
33	0.0025606582461529456	59
92	0.0025457649341816824	60
47	0.002447713168009268	61
46	0.0023980332131223314	62
79	0.0023773007964362747	63
42	0.002372246562281804	64
77	0.002329444648925315	65
0	0.0022901388539980946	66
65	0.002265801948396006	67
78	0.0022514753715234754	68
71	0.0022503051279354988	69
38	0.002143857580196538	70
34	0.0020514548242813913	71
72	0.0019316549159146092	72
76	0.0019089939535600069	73
93	0.0019011681046116162	74
21	0.0018965948347212124	75
63	0.001853489778472305	76
29	0.0018122836123473638	77
3	0.001800888599575888	78
37	0.0017568709023870403	79
28	0.0015936663511853337	80
40	0.0015379470324698831	81
89	0.0015317017314122193	82
19	0.0014804897654744598	83
70	0.0013729289428743316	84
52	0.0013455774383017108	85
91	0.0013390828113371699	86
25	0.0012306479755640626	87
51	0.0011972922771899275	88
99	0.0011706325612183504	89
18	0.0010872648516228702	90
59	0.0009702354452457278	91
62	0.0008415815535753728	92
5	0.0008249206501757215	93
80	0.0007605287976225851	94
48	0.0007308265410592529	95
17	0.0007081471863147941	96
56	0.0006020786165366833	97
41	0.0005989904264409281	98
95	0.00046045989695652043	99
