	Importance	sample
95	0.23753203174769125	0
98	0.1405093583902857	1
54	0.07240439169012478	2
38	0.03607063020134856	3
99	0.03395319917587606	4
7	0.0334915209866463	5
45	0.02507271648702493	6
12	0.019123562599906493	7
77	0.018874195162657193	8
66	0.015374992656751695	9
37	0.013660964272494703	10
29	0.013235452096210553	11
13	0.012520952848522927	12
56	0.012261431513406001	13
50	0.012115743854379083	14
78	0.011817458932844792	15
30	0.01064291099799325	16
59	0.0101019074019049	17
14	0.0100856388998429	18
36	0.00982099365283628	19
0	0.009438443222258992	20
79	0.007763568800883071	21
49	0.007448379445656984	22
6	0.00697831042324746	23
86	0.006834644462788793	24
80	0.0064840190733619464	25
20	0.006290983204304728	26
87	0.006187622299648766	27
63	0.006056596616573204	28
93	0.005767176728142049	29
48	0.005599101402289332	30
90	0.005470377431170137	31
51	0.005329335738640649	32
64	0.005013813325355504	33
2	0.004976364894040527	34
42	0.004778128751643695	35
3	0.004771650876270164	36
81	0.004703996019556353	37
34	0.0047014313430377	38
74	0.004500645340441403	39
23	0.004343405845707768	40
58	0.0043136408866251315	41
67	0.004149757830448768	42
17	0.004128625684520881	43
10	0.003968958653003529	44
69	0.0037107018174770932	45
40	0.0034241989594988756	46
43	0.003381707010677317	47
53	0.003348705598661658	48
5	0.0032095344065694023	49
24	0.003187585147580342	50
28	0.0031290251834910077	51
41	0.003045132608530731	52
62	0.0030138057189247067	53
33	0.002886165199548319	54
4	0.0027695447991482403	55
9	0.0027104602811016307	56
18	0.002703186650721366	57
96	0.0026369624543973484	58
83	0.0025935226830463547	59
31	0.0025822285550823497	60
70	0.0025393847134586606	61
76	0.0025386635007430456	62
75	0.002524025605484614	63
52	0.002465900675829594	64
57	0.0023772279904873098	65
8	0.0023085077114223824	66
91	0.0021363275838351945	67
26	0.0021192820185061017	68
94	0.002087581432582944	69
65	0.002079968251819141	70
71	0.0020610150492211036	71
22	0.001981833490458248	72
88	0.0019758996876921685	73
92	0.0018967502770287884	74
89	0.0018932093637118814	75
44	0.0018735555376503726	76
73	0.0018075378373723324	77
16	0.0017888998051690387	78
25	0.001763591863144249	79
39	0.0016683856022268143	80
72	0.0016612444837701933	81
35	0.0016559802206482575	82
11	0.0015626061125532831	83
46	0.0014571869803669446	84
32	0.0014376462270760167	85
21	0.0014263712320992227	86
97	0.001377087020164969	87
82	0.0012474137799750704	88
84	0.001115260864713765	89
1	0.001108909813345251	90
85	0.0010606988157420506	91
60	0.0009328761306249157	92
15	0.0009204379321971081	93
47	0.0007910065932107014	94
68	0.0007791122865465341	95
61	0.0007134091568105788	96
19	0.0006769308801818443	97
27	0.000608521552085185	98
55	0.0005782529772216279	99
